Full Name,First Name,Last Name,Address,EmployeeID,Image,Designation,Cell No,Email
John Smith,John,Smith,1901 Halford Ave Santa Clara CA 95051,123,john_Smith.jpeg,Sales Manager,+1-786123456,john_Smith@gmail.com
Rayan John,Rayan,John,2006 Klamath Ave Santa Clara CA 95032,124,rayan_John.jpeg,QA Manager,+1-386123456,rayan_John@gmail.com
Peter Mark,Peter,Mark,2006 Redwood City Belmont CA 95042,125,peter_Mark.jpeg,Product Manager,+1-586123456,peter_Mark@gmail.com
Ricky Ritcher,Ricky,Ritcher,1230 Showers Drive Mountain View CA 94043,126,ricky_Richter.jpeg,Software Engineer,+1-686123426,ricky_Ritcher@gmail.com
Peter Hosey,Peter,Hosey,600 Showers Drive Mountain View CA 94041,127,peter_Hosey.jpeg,Software Engineer,+1-586111456,peter_Hosey@gmail.com
Ross Jerry,Ross,Jerry,921 Palo Alto San Antonio CA 94053,128,ross_Jerry.jpeg,QA Engineer,+1-916123456,ross_Jerry@gmail.com
Tim Coterill,Tim,Coterill,345 Potrero SunnyVale CA 94153,129,tim_Coterill.jpeg,Software Engineer,+1-216123456,tim_Coterill@gmail.com
Richard Rosa,Richard,Rosa,145 Arques Ave CA 94253,130,richard_Rosa.jpeg,Software Engineer,+1-216122256,richard_Rosa@gmail.com
Mark David,Mark,David,245 Isabella Ave CA 94053,131,mark_David.jpeg,Vice President,+1-216122253,mark_David@gmail.com
Sheryyl Rose,Sheryyl,Rose,45 Milpitas Ave CA 94853,132,sheryyl_Rose.jpeg,Vice President,+1-336122253,sheryyl_Rose@gmail.com
